"year","month","week","accidents","fatalities","total_gdp","gdp_per_capita","unemployment","population","vehicles","inflation_rate","quarter","season","is_summer","is_winter","is_holiday","AccidentGrowthRate","FatalityGrowthRate","FatalityRate","AccidentChangeRate","FatalityChangeRate","AccidentsPerCapita","FatalitiesPerCapita","AccidentsPerVehicle","economic_crisis","covid","new_highways","speed_limits","seat_belt","helmet","alcohol","phone","licensing","airbags","abs","kid_seat","fines","pedestrians","kteo","point_system"
1996,"8",1,254,40,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,-0.13013698630137,0.481481481481481,0.15748031496063,-0.13013698630137,0.481481481481481,2.39423400583345e-05,3.77044725328102e-06,6.68907947205782e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"8",2,597,60,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,1.3503937007874,0.5,0.100502512562814,1.3503937007874,0.5,5.62739252552192e-05,5.65567087992153e-06,0.00015721970255191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"8",3,510,58,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,-0.14572864321608,-0.0333333333333333,0.113725490196078,-0.14572864321608,-0.0333333333333333,4.8073202479333e-05,5.46714851725748e-06,0.000134308288612185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"8",4,495,72,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,-0.0294117647058824,0.241379310344828,0.145454545454545,-0.0294117647058824,0.241379310344828,4.66592847593526e-05,6.78680505590584e-06,0.000130358044829473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"8",5,524,62,100.664,9.489,426.8,10608821,3797234,8.2,3,"Summer",1,0,0,0.0585858585858586,-0.138888888888889,0.118320610687023,0.0585858585858586,-0.138888888888889,4.93928590179814e-05,5.84419324258558e-06,0.000137995182809382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"9",1,534,52,100.664,9.489,426.8,10608821,3797234,8.2,3,"Autumn",0,0,0,0.0190839694656489,-0.161290322580645,0.0973782771535581,0.0190839694656489,-0.161290322580645,5.03354708313016e-05,4.90158142926533e-06,0.000140628678664523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"9",2,526,42,100.664,9.489,426.8,10608821,3797234,8.2,3,"Autumn",0,0,0,-0.0149812734082397,-0.192307692307692,0.0798479087452472,-0.0149812734082397,-0.192307692307692,4.95813813806454e-05,3.95896961594507e-06,0.00013852188198041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"9",3,536,48,100.664,9.489,426.8,10608821,3797234,8.2,3,"Autumn",0,0,0,0.0190114068441065,0.142857142857143,0.0895522388059701,0.0190114068441065,0.142857142857143,5.05239931939657e-05,4.52453670393722e-06,0.000141155377835551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"9",4,510,46,100.664,9.489,426.8,10608821,3797234,8.2,3,"Autumn",0,0,0,-0.0485074626865672,-0.0416666666666667,0.0901960784313725,-0.0485074626865672,-0.0416666666666667,4.8073202479333e-05,4.33601434127317e-06,0.000134308288612185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,"9",5,134,17,100.664,9.489,426.8,10608821,3797234,8.2,3,"Autumn",0,0,0,-0.737254901960784,-0.630434782608696,0.126865671641791,-0.737254901960784,-0.630434782608696,1.26309982984914e-05,1.60244008264443e-06,3.52888444588877e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
